{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.12,
 'R_o': 0.05,
 'R_e': 0.3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	n_II[]	n_IV[]	h_gap[mm]	B_max[T]	K[]
45.0	3	3	15.500	1.105	0.141
45.0	3	4	15.500	1.105	0.146
55.0	2	3	15.500	1.105	0.160
55.0	2	4	15.500	1.105	0.117
55.0	3	3	15.500	1.105	0.170
55.0	3	4	15.500	1.105	0.065
35.0	2	3	15.750	1.105	1.228
35.0	2	4	15.750	1.105	1.191
35.0	3	3	15.750	1.105	1.220
35.0	3	4	15.750	1.105	1.207
45.0	2	3	15.750	1.105	0.147
45.0	2	4	15.750	1.105	0.143
45.0	3	3	15.750	1.105	0.144
45.0	3	4	15.750	1.105	0.141
55.0	2	3	15.750	1.105	0.157
55.0	2	4	15.750	1.105	0.116
55.0	3	3	15.750	1.105	0.168
55.0	3	4	15.750	1.105	0.063
35.0	2	3	16.000	1.105	1.223
35.0	2	4	16.000	1.105	1.184
35.0	3	3	16.000	1.105	1.224
35.0	3	4	16.000	1.105	1.189
45.0	2	3	16.000	1.105	0.127
45.0	2	4	16.000	1.105	0.146
45.0	3	3	16.000	1.105	0.124
45.0	3	4	16.000	1.105	0.136
55.0	2	3	16.000	1.105	0.155
55.0	2	4	16.000	1.105	0.111
55.0	3	3	16.000	1.105	0.171
55.0	3	4	16.000	1.105	0.061
35.0	2	3	16.250	1.105	1.226
35.0	2	4	16.250	1.105	1.180
35.0	3	3	16.250	1.105	1.217
35.0	3	4	16.250	1.105	1.179
45.0	2	3	16.250	1.105	0.119
45.0	2	4	16.250	1.105	0.135
45.0	3	3	16.250	1.105	0.122
45.0	3	4	16.250	1.105	0.130
55.0	2	3	16.250	1.105	0.161
55.0	2	4	16.250	1.105	0.115
55.0	3	3	16.250	1.105	0.168
55.0	3	4	16.250	1.105	0.058
35.0	2	3	16.500	1.105	1.223
35.0	2	4	16.500	1.105	1.174
35.0	3	3	16.500	1.105	1.219
35.0	3	4	16.500	1.105	1.187
45.0	2	3	16.500	1.105	0.115
45.0	2	4	16.500	1.105	0.128
45.0	3	3	16.500	1.105	0.126
45.0	3	4	16.500	1.105	0.125
55.0	2	3	16.500	1.105	0.160
55.0	2	4	16.500	1.105	0.113
55.0	3	3	16.500	1.105	0.174
55.0	3	4	16.500	1.105	0.057
35.0	2	3	16.750	1.105	1.223
35.0	2	4	16.750	1.105	1.187
35.0	3	3	16.750	1.105	1.218
35.0	3	4	16.750	1.105	1.187
45.0	2	3	16.750	1.105	0.119
45.0	2	4	16.750	1.105	0.123
45.0	3	3	16.750	1.105	0.110
45.0	3	4	16.750	1.105	0.123
55.0	2	3	16.750	1.105	0.164
55.0	2	4	16.750	1.105	0.109
55.0	3	3	16.750	1.105	0.172
55.0	3	4	16.750	1.105	0.056
